time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-06-28T11:17:31.734Z,8.4069,-82.8409,22.89,4.4,mb,,82,0.413,0.81,us,us700046i1,2019-06-28T12:08:43.681Z,"3km NE of Finca Blanco Numero Uno, Panama",earthquake,5.6,6.4,0.067,64,reviewed,us,us
2019-06-28T09:24:08.880Z,37.5128326,-118.7975,6.01,2.8,md,26,116,0.08105,0.05,nc,nc73203191,2019-06-28T11:50:03.687Z,"12km WSW of Toms Place, CA",earthquake,0.26,1,0.17,31,automatic,nc,nc
,48.8589466,2.2769951,,,,,,,,,,,"Paris, France",,,,,,,,
,40.7003346,-74.2602198,,,,,,,,,,,"New York, USA",,,,,,,,
,41.9102415,12.3959132,,,,,,,,,,,"Rome, Italy",,,,,,,,
,51.5287718,-0.241682,,,,,,,,,,,"London, UK",,,,,,,,
,35.6684415,139.6007823,,,,,,,,,,,"Tokyo, Japan",,,,,,,,
,38.7437396,-9.2302434,,,,,,,,,,,"Lisbon, Portugal",,,,,,,,
,41.3927755,2.070149,,,,,,,,,,,"Barcelona, Spain",,,,,,,,
,21.3282956,-157.9391598,,,,,,,,,,,"Honolulu, Hawaii",,,,,,,,
,41.0055005,28.7319918,,,,,,,,,,,"Istanbul, Turkey",,,,,,,,
,13.7251088,100.3529134,,,,,,,,,,,"Bangkok, Thailand",,,,,,,,
,27.1763098,77.9099725,,,,,,,,,,,"Agra, India",,,,,,,,
,30.0595581,31.2234448,,,,,,,,,,,"Cairo, Egypt",,,,,,,,
,60.11021,24.7385047,,,,,,,,,,,"Helsinki, Finland",,,,,,,,
,-8.4960683,115.2485298,,,,,,,,,,,"Ubud, Bali, Indonesia",,,,,,,,
,52.5069312,13.1445509,,,,,,,,,,,"Berlin, Germany",,,,,,,,
,31.2231278,120.9149094,,,,,,,,,,,"Shanghai, China",,,,,,,,
,36.1251958,-115.3150854,,,,,,,,,,,"Las Vegas, USA",,,,,,,,
,31.7964453,35.1053186,,,,,,,,,,,"Jerusalem, Israel",,,,,,,,
,45.4046829,12.1071476,,,,,,,,,,,"Venice, Italy",,,,,,,,
,-33.9131289,18.095612,,,,,,,,,,,"Cape Town, South Africa",,,,,,,,
,-22.9132525,-43.7261748,,,,,,,,,,,"Rio de Janeiro, Brazil",,,,,,,,
,1.3143394,103.7041628,,,,,,,,,,,"Singapore, Singapore",,,,,,,,
,43.7184038,-79.5181425,,,,,,,,,,,"Toronto, Canada",,,,,,,,
,37.5640455,126.8340011,,,,,,,,,,,"Seoul, South Korea",,,,,,,,
,33.5724108,-7.6570328,,,,,,,,,,,"Casablanca, Morocco",,,,,,,,
,55.5815244,36.8251158,,,,,,,,,,,"Moscow, Russia",,,,,,,,
,-33.8473567,150.6517873,,,,,,,,,,,"Sydney, Australia",,,,,,,,
,-12.0262676,-77.1278659,,,,,,,,,,,"Lima, Peru",,,,,,,,
,39.9390731,116.1172706,,,,,,,,,,,"Beijing, China",,,,,,,,
,-34.6156625,-58.5033385,,,,,,,,,,,"Buenos Aires, Argentina",,,,,,,,
,55.9412846,-3.2753783,,,,,,,,,,,"Edinburgh, Scotland",,,,,,,,
,34.0207305,-118.6919237,,,,,,,,,,,"Los Angeles, USA",,,,,,,,
,55.6713442,12.5237843,,,,,,,,,,,"Copenhagen, Denmark",,,,,,,,
,34.6777192,135.415997,,,,,,,,,,,"Osaka, Japan",,,,,,,,
,-36.8589326,174.4259353,,,,,,,,,,,"Auckland, New Zealand",,,,,,,,
,19.0825223,72.7410993,,,,,,,,,,,"Mumbai, India",,,,,,,,
,25.0763815,54.9475521,,,,,,,,,,,"Dubai, United Arab Emirates",,,,,,,,
,48.1550547,11.4017519,,,,,,,,,,,"Munich, Germany",,,,,,,,
,22.3531176,113.8475045,,,,,,,,,,,"Hong Kong, China",,,,,,,,
,25.342348,50.0964286,,,,,,,,,,,"Qatar, State of Qatar",,,,,,,,
,47.6131746,-122.4821484,,,,,,,,,,,"Seattle, USA",,,,,,,,
,59.8939529,10.6450345,,,,,,,,,,,"Oslo, Norway",,,,,,,,
,51.3801748,-2.3995494,,,,,,,,,,,"Bath, UK",,,,,,,,
,37.9908997,23.7033198,,,,,,,,,,,"Athens, Greece",,,,,,,,
,48.2208286,16.2399761,,,,,,,,,,,"Vienna, Austria",,,,,,,,
,40.4381311,-3.8196215,,,,,,,,,,,"Madrid, Spain",,,,,,,,
,53.3244431,-6.3857871,,,,,,,,,,,"Dublin, Republic of Ireland",,,,,,,,
,43.7800607,11.1709279,,,,,,,,,,,"Florence, Italy",,,,,,,,
,51.2609144,3.0820248,,,,,,,,,,,"Bruges, Belgium",,,,,,,,
,50.0469018,19.8647895,,,,,,,,,,,"Krakow, Poland",,,,,,,,
,52.3547925,4.7638772,,,,,,,,,,,"Amsterdam, Holland",,,,,,,,
,59.326242,17.8419704,,,,,,,,,,,"Stockholm, Sweden",,,,,,,,
,46.0662151,14.4620591,,,,,,,,,,,"Ljubljana, Slovenia",,,,,,,,
,21.0228161,105.8019441,,,,,,,,,,,"Hanoi, Vietnam",,,,,,,,
,-41.2526171,174.614174,,,,,,,,,,,"Wellington, New Zealand",,,,,,,,
,43.703298,7.1827719,,,,,,,,,,,"Nice, France",,,,,,,,
,49.2578263,-123.1939439,,,,,,,,,,,"Vancouver, Canada",,,,,,,,
,50.4021368,30.2525084,,,,,,,,,,,"Kiev, Ukraine",,,,,,,,
,47.5345646,13.5405901,,,,,,,,,,,"Hallstatt, Austria",,,,,,,,
,23.0509409,-82.4730886,,,,,,,,,,,"Havana, Cuba",,,,,,,,
,19.3910038,-99.2836995,,,,,,,,,,,Mexico City,,,,,,,,
,33.8892846,35.4692628,,,,,,,,,,,"Beirut, Lebanon",,,,,,,,
,47.802904,12.9863901,,,,,,,,,,,"Salzburg, Austria",,,,,,,,
,-23.6815315,-46.8754916,,,,,,,,,,,"Sao Paolo, Brazil",,,,,,,,
